Date,Frequency
3/18/2019,0.3333333333333333
3/18/2020,
3/19/2017,0.6666666666666666
3/19/2018,0.5
3/19/2019,
3/19/2020,
3/2/2016,
3/2/2017,0.3333333333333333
3/2/2018,0.6666666666666666
3/2/2019,0.5
3/2/2020,1.0
3/20/2017,0.5714285714285714
3/20/2018,0.25
3/20/2019,
3/20/2020,
3/21/2017,0.3333333333333333
3/21/2018,
3/21/2019,0.2
3/22/2016,1.0
3/22/2017,0.6666666666666666
3/22/2019,0.375
3/23/2017,0.4
3/23/2018,
3/23/2019,0.5
3/24/2017,0.2
3/24/2019,
3/24/2020,0.3333333333333333
3/25/2017,
3/25/2019,
3/25/2020,
3/26/2018,0.5
3/26/2019,0.3333333333333333
3/26/2020,
3/27/2017,
3/27/2018,0.6666666666666666
3/27/2019,0.25
3/27/2020,0.3333333333333333
3/28/2017,0.5
3/28/2018,1.0
3/28/2019,0.3333333333333333
3/29/2016,
3/29/2017,0.5
3/29/2018,1.0
3/29/2019,1.0
3/29/2020,
3/3/2016,
3/3/2017,0.2857142857142857
3/3/2018,
3/3/2019,
3/30/2016,
3/30/2017,0.4
3/30/2018,
3/30/2019,0.3333333333333333
3/31/2016,
3/31/2017,0.16666666666666666
3/31/2018,0.3333333333333333
3/31/2019,
3/4/2016,
3/4/2017,1.0
3/4/2018,
3/4/2019,0.5
3/5/2016,
3/5/2017,0.8
3/5/2018,0.5
3/5/2019,0.6666666666666666
3/6/2016,
3/6/2017,0.7647058823529411
3/6/2018,
3/6/2019,0.14285714285714285
3/6/2020,
3/7/2017,0.6666666666666666
3/7/2019,0.25
3/8/2017,0.5
3/9/2016,
3/9/2017,1.0
3/9/2018,
3/9/2019,
3/9/2020,
4/1/2016,0.5
4/1/2018,1.0
4/1/2019,0.125
4/10/2017,
4/10/2018,0.6666666666666666
4/10/2019,
4/10/2020,
4/11/2016,
4/11/2017,1.0
4/11/2018,0.3333333333333333
4/11/2019,0.16666666666666666
4/12/2017,0.5
4/12/2018,0.5
4/12/2019,
4/13/2016,1.0
4/13/2017,0.5
4/13/2018,
4/13/2019,
4/13/2020,1.0
4/14/2018,
4/14/2019,
4/15/2016,
4/15/2018,
4/15/2019,0.09090909090909091
4/16/2018,0.5
4/16/2019,0.4
4/16/2020,
4/17/2018,
4/17/2019,
4/17/2020,
4/18/2016,
4/18/2018,1.0
4/18/2019,0.38461538461538464
4/18/2020,
4/19/2016,
4/19/2017,
4/19/2018,
4/19/2019,0.4
4/2/2016,
4/2/2017,1.0
4/2/2020,
4/20/2016,
4/20/2017,1.0
4/20/2018,1.0
4/20/2019,0.5
4/20/2020,
4/21/2016,
4/21/2018,
4/21/2019,0.5
4/21/2020,
4/22/2016,
4/22/2018,
4/22/2019,0.42857142857142855
4/22/2020,1.0
4/23/2017,1.0
4/23/2018,
4/23/2019,0.14285714285714285
4/23/2020,
4/24/2018,0.5
4/24/2019,0.6666666666666666
4/24/2020,
4/25/2018,1.0
4/25/2019,1.0
4/26/2016,
4/26/2017,1.0
4/26/2018,1.0
4/26/2019,0.75
4/27/2016,
4/27/2017,0.6666666666666666
4/27/2018,0.5
4/27/2019,
4/27/2020,
4/28/2017,0.6666666666666666
4/28/2019,0.3333333333333333
4/28/2020,0.5
4/29/2017,1.0
4/29/2018,
4/29/2019,
4/29/2020,
4/3/2018,0.14285714285714285
4/3/2019,
4/3/2020,1.0
4/30/2017,0.5
4/30/2018,1.0
4/30/2019,0.5
4/4/2016,
4/4/2017,1.0
4/4/2018,
4/4/2019,
4/4/2020,1.0
4/5/2016,0.5
4/5/2017,1.0
4/5/2018,0.3333333333333333
4/5/2019,
4/6/2016,
4/6/2017,
4/6/2018,
4/6/2020,
4/7/2016,1.0
4/7/2017,
4/7/2019,0.5
4/7/2020,0.75
4/8/2017,
4/8/2019,0.5
4/8/2020,1.0
4/9/2016,
4/9/2018,0.3333333333333333
4/9/2019,
5/1/2017,1.0
5/1/2018,
5/1/2019,0.5
5/1/2020,
5/10/2016,
5/10/2017,0.5757575757575758
5/10/2018,0.6666666666666666
5/10/2019,0.2
5/10/2020,1.0
5/11/2016,0.3333333333333333
5/11/2017,0.47368421052631576
5/11/2018,1.0
5/11/2019,0.14285714285714285
5/11/2020,0.5
5/12/2016,0.16666666666666666
5/12/2017,0.5333333333333333
5/12/2018,
5/12/2019,0.5
5/12/2020,0.4
5/13/2016,
5/13/2017,0.4444444444444444
5/13/2019,
5/13/2020,0.25
5/14/2016,1.0
5/14/2017,1.0
5/14/2018,
5/14/2019,0.5714285714285714
5/14/2020,0.4
5/15/2017,0.6666666666666666
5/15/2018,
5/15/2019,0.6
5/15/2020,0.75
5/16/2016,
5/16/2017,0.45454545454545453
5/16/2018,1.0
5/16/2019,0.25
5/16/2020,
5/17/2016,1.0
5/17/2017,0.5625
5/17/2018,0.8333333333333334
5/17/2019,
5/18/2016,
5/18/2017,0.2857142857142857
5/18/2018,0.7
5/18/2019,0.5
5/18/2020,0.6666666666666666
5/19/2016,
5/19/2017,0.5
5/19/2018,1.0
5/19/2019,
5/19/2020,0.5
5/2/2017,
5/2/2018,0.75
5/2/2019,0.6
5/20/2017,0.3333333333333333
5/20/2018,1.0
5/20/2019,1.0
5/20/2020,
5/21/2017,
5/21/2018,0.5
5/21/2019,0.25
5/21/2020,0.75
5/22/2016,
5/22/2017,0.4
5/22/2018,0.42857142857142855
5/22/2019,1.0
5/22/2020,0.6666666666666666
5/23/2016,
5/23/2017,0.8333333333333334
5/23/2018,0.6666666666666666
5/23/2019,0.3333333333333333
5/23/2020,
5/24/2017,
5/24/2018,0.3333333333333333
5/24/2019,0.3333333333333333
5/25/2016,0.2
5/25/2017,0.3333333333333333
5/25/2018,0.6666666666666666
5/25/2020,1.0
5/26/2017,1.0
5/26/2018,0.5
5/26/2019,
5/26/2020,
5/27/2016,
5/27/2017,
5/27/2020,0.5
5/28/2018,
5/28/2019,
5/28/2020,0.25
5/29/2017,
5/29/2019,0.5
5/29/2020,
5/3/2016,
5/3/2017,0.5
5/3/2018,1.0
5/3/2019,0.4
5/30/2016,
5/30/2017,0.4
5/30/2018,0.2
5/30/2019,0.4
5/31/2017,0.5
5/31/2018,0.5
5/31/2019,0.25
5/4/2018,0.3333333333333333
5/4/2019,0.25
5/4/2020,
5/5/2016,
5/5/2017,
5/5/2018,1.0
5/5/2019,1.0
5/5/2020,
5/6/2016,
5/6/2019,
5/6/2020,
5/7/2018,0.5
5/7/2019,0.7142857142857143
5/8/2016,
5/8/2017,1.0
5/8/2018,0.3333333333333333
5/8/2019,0.7777777777777778
5/8/2020,0.5
5/9/2016,
5/9/2017,0.4
5/9/2018,0.75
5/9/2019,0.16666666666666666
5/9/2020,
6/1/2017,1.0
6/1/2018,0.3333333333333333
6/1/2020,0.5
6/10/2016,0.6
6/10/2017,1.0
6/10/2018,0.5
6/10/2019,0.18181818181818182
6/10/2020,
6/11/2019,0.36363636363636365
6/11/2020,1.0
6/12/2016,
6/12/2017,0.4
6/12/2018,0.75
6/12/2019,0.25
6/13/2016,
6/13/2017,0.6153846153846154
6/13/2018,
6/13/2019,
6/13/2020,0.3333333333333333
6/14/2016,1.0
6/14/2017,
6/14/2018,
6/14/2019,0.3333333333333333
6/15/2016,
6/15/2017,
6/15/2018,
6/15/2019,
6/16/2017,0.36363636363636365
6/16/2018,
6/16/2019,0.3333333333333333
6/16/2020,0.3333333333333333
6/17/2017,
6/17/2018,1.0
6/17/2019,0.5
6/18/2017,1.0
6/18/2018,0.25
6/18/2019,0.5
6/18/2020,0.3333333333333333
6/19/2017,
6/19/2018,
6/19/2020,
6/2/2017,0.5
6/2/2018,0.5
6/2/2019,
6/2/2020,1.0
6/20/2016,
6/20/2017,0.16666666666666666
6/20/2019,0.6666666666666666
6/20/2020,
6/21/2016,
6/21/2017,
6/21/2018,
6/21/2019,
6/21/2020,
6/22/2016,
6/22/2017,0.8571428571428571
6/23/2017,0.3333333333333333
6/23/2019,
6/23/2020,0.5
6/24/2017,
6/24/2018,
6/24/2019,1.0
6/24/2020,
6/25/2020,
6/26/2017,
6/26/2018,
6/26/2019,0.25
6/26/2020,0.3333333333333333
6/27/2016,
6/27/2017,0.5
6/27/2018,
6/27/2019,
6/27/2020,
6/28/2017,0.5
6/28/2018,
6/28/2019,
6/28/2020,0.5
6/29/2018,0.25
6/29/2020,1.0
6/3/2017,0.5
6/3/2018,0.16666666666666666
6/3/2019,0.2222222222222222
6/30/2016,
6/30/2017,1.0
6/30/2018,1.0
6/30/2019,
6/30/2020,
6/4/2016,
6/4/2018,0.7142857142857143
6/4/2019,
6/4/2020,1.0
6/5/2017,1.0
6/5/2018,0.5714285714285714
6/5/2019,0.6666666666666666
6/6/2017,0.2
6/6/2018,
6/6/2019,0.25
6/7/2016,
6/7/2017,0.6
6/7/2018,1.0
6/7/2019,
6/7/2020,
6/8/2017,0.38461538461538464
6/8/2018,0.3333333333333333
6/8/2020,
6/9/2017,0.6
6/9/2019,0.3333333333333333
6/9/2020,
7/1/2016,
7/1/2017,0.5
7/1/2020,
7/10/2019,
7/10/2020,0.3333333333333333
7/11/2016,
7/11/2017,1.0
7/11/2019,0.5
7/11/2020,0.4
7/12/2016,1.0
7/12/2017,0.6666666666666666
7/12/2018,1.0
7/12/2020,
7/13/2017,0.5
7/13/2018,
7/13/2019,
7/13/2020,1.0
7/14/2017,0.25
7/14/2019,0.3333333333333333
7/14/2020,
7/15/2016,
7/15/2018,1.0
7/15/2019,
7/15/2020,0.5
7/16/2016,
7/16/2018,
7/16/2019,
7/16/2020,0.6666666666666666
7/17/2017,
7/17/2018,0.6
7/17/2019,0.25
7/17/2020,0.5263157894736842
7/18/2016,
7/18/2017,0.5
7/18/2018,0.6666666666666666
7/18/2019,
7/19/2016,
7/19/2017,0.75
7/19/2019,0.2
7/2/2017,
7/2/2018,0.3333333333333333
7/2/2019,0.5
7/2/2020,1.0
7/20/2017,0.75
7/20/2018,0.2857142857142857
7/20/2019,0.5
7/21/2016,
7/21/2017,1.0
7/21/2018,0.25
7/21/2020,
7/22/2016,
7/22/2017,0.5
7/22/2020,1.0
7/23/2016,
7/23/2018,
7/23/2020,
7/24/2017,0.6666666666666666
7/24/2018,
7/24/2019,0.5
7/24/2020,
7/25/2017,0.6666666666666666
7/25/2018,0.5
7/25/2019,0.3333333333333333
