date,headline,polarity,subjectivity
6/15/2016,"The Watergate hotel‚s reopening party has a scandalous theme, but an upstanding crowd",0.0,0.0
6/20/2016,From the archives:: Time for a Feminist as First Lady?,0.25,0.3333333333333333
6/21/2016,"When Republicans Draw District Boundaries, They Can‚t Lose. Literally.",0.0,0.0
6/21/2016,"Jack Fuller, 69, Chicago Tribune Journalist Who Led Expansion, Dies",0.0,0.0
6/22/2016,"Does the Watergate Hotel need a younger, sexier scandal?",0.0,0.0
6/27/2016,The month of June in restaurant openings and closings,0.0,0.0
6/27/2016,"The surprisingly dark, twisted history of presidential impersonators in America",-0.325,0.7
6/30/2016,Opinion | Madame Tussauds: A wax museum on the wane,0.0,0.0
7/1/2016,Five American movies to see on Independence Day,0.0,0.0
7/1/2016,"Lynch to accept recommendation of FBI, career prosecutors in Clinton email probe",0.0,0.0
7/1/2016,"If Party Conventions Seem More Like Infomercials, Blame Nixon",0.5,0.5
7/5/2016,Which Books Deserve a Sequel?,0.0,0.0
7/5/2016,What Makes a Politician Authentic‚?,0.0,0.0
7/6/2016,Thursday‚s : ‚ÄúAll the President‚s Men‚Äù on TCM,0.0,0.0
7/7/2016,Book of the week: Finding the Flavors We Lost‚,0.0,0.0
7/7/2016,What‚s on TV Thursday,0.0,0.0
7/8/2016,"Watergate Hotel Is Back and Banking on History, Glamorous or Scandalous",0.0,0.0
7/11/2016,"John Brademas, Indiana Congressman and N.Y.U. President, Dies at 89",0.0,0.0
7/12/2016,Can the G.O.P. Senate Majority Survive Donald Trump?,0.0,0.0
7/15/2016,Political podcaster Dan Carlin has an unusual spin on rage,0.1,0.55
7/16/2016,"The Great British Baking Show‚ recap, Ep. 3 and 4: Bogus baguettes and rainy-day meringues",0.4,0.375
7/18/2016,A New Biography Says George W. Bush Really Was the Decider,0.16818181818181818,0.32727272727272727
7/19/2016,George W. Bush and others are predicting doom for the GOP. Now we find out if they‚re right.,0.2857142857142857,0.5357142857142857
7/21/2016,A rock as long as New Jersey may have smashed up the moon‚s face‚,0.043181818181818175,0.42727272727272725
7/21/2016,"Betsy Bloomingdale, Socialite and Friend of Influencers, Dies at 93",0.0,0.0
7/22/2016,"William Gaines, Prizewinning Investigative Reporter, Dies at 82",0.0,0.0
7/23/2016,The lock her up‚ movement against Hillary Clinton: a modern-day Salem witch trial?,0.0,0.0
7/27/2016,"Kingbird review: The food, the view and the wine bill can take your breath away",0.0,0.0
